BlipA.ElapsedDays         BlipA.X                   BlipA.Y                   BlipA.Z                   
0                         6804.373650608836         -591.8208020951877        -2208.7053023954          
BlipA.ElapsedDays         BlipA.X                   BlipA.Y                   BlipA.Z                   
0.03996880008708104       -7195.454263862348        -170.3755632888218        -664.1776789059173        
0.04112949411864975       -7085.420641136732        -360.7562565412799        -1374.335678906192        
0.04228992572461721       -6900.164231922248        -547.2622718027462        -2069.701035241795        
0.04345010209362954       -6641.665604785996        -727.9146705203698        -2742.877115564125        
0.04461003344476922       -6312.679788545557        -900.797191015082         -3386.705436745378        
0.04576973438815912       -5916.705529711471        -1064.076474847278        -3994.341376981518        
0.04692920041270554       -5457.95688696073         -1216.018105390937        -4559.314248973735        
0.048088423875015         -4941.315970151615        -1355.007603564159        -5075.605770566214        
0.0492474002421659        -4372.27839179618         -1479.56825514156         -5537.716648918639        
0.05040609399657114       -3756.912918948096        -1588.373466191426        -5940.712787778486        
0.05156446803084691       -3101.78534158635         -1680.265060402665        -6280.293472219952        
0.05272250458801864       -2413.875220992842        -1754.266928853049        -6552.842129922378        
0.05388012459297897       -1700.549288462082        -1809.590669239827        -6755.447462867139        
0.0550373057849356        -969.4124090823123        -1845.65173437812         -6885.96311413856         
0.05619397925693193       -228.2881136993359        -1862.07043055156         -6943.011439815158        
0.05735009051568341       514.9035214560134         -1858.679312779586        -6926.010553737686        
0.05850558873135014       1252.225585531933         -1835.524181045778        -6835.177663853494        
0.05966040906423586       1975.799715551932         -1792.864203537431        -6671.529126398454        
0.06081453337174025       2677.929864678828         -1731.166667622789        -6436.860092353018        
0.06196793166236603       3351.148158203514         -1651.102814464775        -6133.728607814805        
0.06312058500770945       3988.309884778719         -1553.539613159624        -5765.424202182442        
0.06427248895488447       4582.671579351033         -1439.529361088396        -5335.928401116074        
0.06542369420640171       5127.980297217099         -1310.292633406677        -4849.850275265423        
0.06657421848649392       5618.493384313141         -1167.213387566811        -4312.407770659975        
0.06772413373255404       6049.078601330685         -1011.814061352899        -3729.3337759981          
0.06887351932891761       6415.241336867079         -845.7436756952551        -3106.831179124687        
0.07002247697528219       6713.173402574982         -670.7580052586417        -2451.498136767013        
0.07117112120977254       6939.784729462793         -488.7020647118379        -1770.262080725122        
0.07231958287229645       7092.731731515405         -301.4901522076937        -1070.304611720236        
0.07346799654624192       7170.435567944302         -111.0880098595395        -358.9943583831139        
0.07461648215758032       7172.0972938736           80.5041862623969          356.1770485459803         
0.07576520484508365       7097.7044523102           271.2821787084381         1067.708740069773         
0.07691429658734705       6948.028333139589         459.244883083025          1768.118073764433         
0.07806389371035039       6724.617565858537         642.420841651199          2450.039722187326         
0.07921411883580731       6429.785191822955         818.8852816945429         3106.28962416317          
