Sat.ElapsedDays           Sat.X                     Sat.Y                     Sat.Z                     
0                         7000                      0                         0                         
Sat.ElapsedDays           Sat.X                     Sat.Y                     Sat.Z                     
0.1060797830832598        -5312.14017253789         -4297.092009103019        0.04654639778757342       
0.1075014625785116        -4676.444586522918        -4993.026754801819        0.06778895694635935       
0.1089256884297356        -3951.544843052422        -5596.18279240716         0.0872355023104564        
0.1103528832318261        -3150.735774069694        -6095.23538273209         0.1043207765443679        
0.1117834149954433        -2288.742088505365        -6480.714502688378        0.1185818982984136        
0.1132175915627158        -1381.469944689603        -6745.187090507116        0.1296872486724825        
0.1146556585335929        -445.7324155115035        -6883.408379316195        0.1374518580190134        
0.1160977836552775        501.0364849843645         -6892.437657010734        0.1418373050331556        
0.1175440644074115        1441.099360664844         -6771.719490866414        0.1429366011860599        
0.1189945187288686        2356.734253856935         -6523.122109183127        0.1409461489983365        
0.1204490852214803        3230.566601483665         -6150.933446116324        0.1361289995302874        
